US ATLETICA VEDANO;54493
ASS. ATL. REGGIO C.;53907
Atletica Corti e Veloci;53870
Atletica Virtuosi Portici;51948
Lucchese Libertas;49462
Atletica Buonappetito;49201
santacecilia;45467
MVB Rovereto;42150
