ASS. ATL. REGGIO C.;340
US ATLETICA VEDANO;321
Atletica Corti e Veloci;316
Atletica Virtuosi Portici;274
Lucchese Libertas;207
Atletica Buonappetito;204
santacecilia;133
MVB Rovereto;77
